Jméno;Příjmení;RČ;Adresa;Telefon 1;Telefon 2
Jiří;Mikát;9001019101;Babická 1 Brno;646545371;965360082
Antonín;Janošec;9001019102;Babičkova 2 Brno;952414971;997922951
Jan;Buš;9001019103;Bačovského 3 Brno;761868826;391020782
Pavel;Hříbek;9001019104;Bakalovo nábřeží 4 Brno;845250401;422500508
Michaela;Olšanská;9001019105;Balbínova 5 Brno;403675746;817680713
Jaroslava;Rosová;9001019106;Banskobystrická 6 Brno;310443389;485517660
Dagmar;Klancová;9001019107;Bartákova 7 Brno;148603907;967987668
Růžena;Jarošková;9001019108;Bartolomějská 8 Brno;189420845;242894377
Vojtěch;Neuhort;9001019109;Bartošova 9 Brno;229006871;869773353
Irena;Pešková;9001019110;Barvičova 10 Brno;108129027;110535887
Nina;Mrázková;9001019111;Barvířská 11 Brno;583428451;679538824
Václav;Sita;9001019112;Barvy 12 Brno;153249369;725003035
Kristýna;Dušková;9001019113;Bašného 13 Brno;143716200;770578155
Jakub;Vorel;9001019114;Bašty 14 Brno;309235388;881388539
Miroslav;Tomek;9001019115;Bauerova 15 Brno;239353497;438841318
Petr;Korda;9001019116;Bayerova 16 Brno;793931372;731560579
Vladěna;Aldersová;9001019117;Bažinka 17 Brno;460492516;184988621
Lucie;Nedělková;9001019118;Bednaříkova 18 Brno;954510203;223462488
Hugo;Vinárek;9001019119;Bednářova 19 Brno;973566013;518008293
Marie;Doleželová;9001019120;Bedřichovická 20 Brno;982428437;307406356
Jana;Havlíčková;9001019121;Beethovenova 21 Brno;829280610;852454362
Jitka;Demelová;9001019122;Běhounská 22 Brno;539003413;453616024
Kamila;Zatloukalová;9001019123;Belcrediho 23 Brno;564082064;410867943
Ivana;Novotná;9001019124;Bělidla 24 Brno;665367711;772124460
Zdeňka;Jinochová;9001019125;Bellova 25 Brno;177908164;479116231
Anna;Majerová;9001019126;Bělohorská 26 Brno;556262937;261121898
Josef;Ovčačík;9001019127;Běloruská 27 Brno;643541968;576314345
Žaneta;Procházková;9001019128;Běly Pažoutové 28 Brno;769356302;249809821
Magda;Štěrbová;9001019129;Bendlova 29 Brno;643466130;264422533
Michal;Vnenk;9001019130;Benešova 30 Brno;698571748;902125540
Zdeněk;Brandejs;9001019131;Berkova 31 Brno;394111640;995770282
Milan;Beneš;9001019132;Bernáčkova 32 Brno;175772461;730983173
Marta;Šestáková;9001019133;Besední 33 Brno;291008722;525766651
Alois;Šindela;9001019134;Bešůvka 34 Brno;997687550;958840674
Marek;Dokládal;9001019135;Bezejmenná 35 Brno;373564968;730838091
Adriana;Pínová;9001019136;Bezovka 36 Brno;273329184;265700856
Jaroslav;Klapetek;9001019137;Bezručova 37 Brno;571456803;702765755
Věra;Tylová;9001019138;Bidláky 38 Brno;303595225;465213488
Hana;Lupínková;9001019139;Bieblova 39 Brno;584810481;795592900
Barbora;Koukalová;9001019140;Bílého 40 Brno;687263566;925750364
Klára;Šafaříková;9001019141;Bílovická 41 Brno;264502550;801968295
Tomáš;Beneda;9001019142;Biskupská 42 Brno;639624532;727247175
Kamil;Opatřil;9001019143;Bítešská 43 Brno;536289649;407827529
Helena;Kopecká;9001019144;Blahoslavova 44 Brno;273644042;395181906
Martin;Žák;9001019145;Blanenská 45 Brno;729095458;138923901
Tereza;Janová;9001019146;Blatného 46 Brno;838941225;282571411
Eva;Poppová;9001019147;Blatnická 47 Brno;949360489;838982027
Lenka;Marková;9001019148;Blatouchová 48 Brno;348963833;191138220
Terezie;Holišová;9001019149;Blažkova 49 Brno;550301348;501243562
Ladislava;Kulichová;9001019150;Blažovická 50 Brno;284737185;457491601
Vladimír;Chmelík;9001019151;Blízká 51 Brno;255681442;410383795
František;Bruner;9001019152;Blodkova 52 Brno;210003840;769124606
Olga;Štěpančíková;9001019153;Blümlova 53 Brno;878303659;980079489
Karel;Hrabec;9001019154;Boční 54 Brno;849600932;818618784
Ladislav;Maryška;9001019155;Bodlákova 55 Brno;267188966;663394682
Alena;Randáková;9001019156;Boettingerova 56 Brno;695186735;537583260
Roman;Kunášek;9001019157;Bohatcova 57 Brno;199336117;674007833
Galina;Markovičová;9001019158;Böhmova 58 Brno;151586195;604927778
Pavla;Rosenbaumová;9001019159;Bohunická 59 Brno;332385388;131107848
Anh;Tučková;9001019160;Bohuňova 60 Brno;592138390;463016087
